Id2,Majority,Majority_woE,Majority_woES,MAX_Majority,MAX_Majority_P,MAX_Majority_woE,MAX_Majority_woE_P,MAX_Majority_woES,MAX_Majority_woES_P,Total,Speak_only_English,Speak_only_English_P,Spanish_or_Spanish_Creole,Spanish_or_Spanish_Creole_P,French_incl_Patois_Cajun,French_incl_Patois_Cajun_P,French_Creole,French_Creole_P,Other_Native_North_American_languages,Other_Native_North_American_languages_P,Hungarian,Hungarian_P,Arabic,Arabic_P,Hebrew,Hebrew_P,African_languages,African_languages_P,Other_and_unspecified_languages,Other_and_unspecified_languages_P,Italian,Italian_P,Portuguese_or_Portuguese_Creole,Portuguese_or_Portuguese_Creole_P,German,German_P,Yiddish,Yiddish_P,Other_West_Germanic_languages,Other_West_Germanic_languages_P,Scandinavian_languages,Scandinavian_languages_P,Greek,Greek_P,Russian,Russian_P,Polish,Polish_P,Serbo-Croatian,Serbo-Croatian_P,Other_Slavic_languages,Other_Slavic_languages_P,Armenian,Armenian_P,Persian,Persian_P,Gujarati,Gujarati_P,Hindi,Hindi_P,Urdu,Urdu_P,Other_Indic_languages,Other_Indic_languages_P,Other_Indo-European_languages,Other_Indo-European_languages_P,Chinese,Chinese_P,Japanese,Japanese_P,Korean,Korean_P,Mon-Khmer_Cambodian,Mon-Khmer_Cambodian_P,Hmong,Hmong_P,Thai,Thai_P,Laotian,Laotian_P,Vietnamese,Vietnamese_P,Other_Asian_languages,Other_Asian_languages_P,Tagalog,Tagalog_P,Other_Pacific_Island_languages,Other_Pacific_Island_languages_P,Navajo,Navajo_P
48001950100,Speak only English,Spanish or Spanish Creole,Russian,4073,90.55135616,397,8.826144953,12,0.266785238,4498,4073,90.55,397,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.13,0,0,0,0,0,0,0,0,12,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001950401,Speak only English,Spanish or Spanish Creole,French incl Patois Cajun,4007,77.79072025,1092,21.19976704,18,0.349446709,5151,4007,77.79,1092,21.2,18,0.35,0,0,8,0.16,0,0,0,0,0,0,12,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.27,0,0,0,0,0,0,0,0
48001950402,Speak only English,Spanish or Spanish Creole,African languages,5172,76.03645986,1508,22.16995001,38,0.558659218,6802,5172,76.04,1508,22.17,16,0.24,0,0,0,0,0,0,32,0.47,0,0,38,0.56,0,0,0,0,0,0,9,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.24,0,0,0,0,11,0.16,0,0
48001950500,Speak only English,Spanish or Spanish Creole,Tagalog,3056,72.39990524,1145,27.12627339,11,0.260601753,4221,3056,72.4,1145,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.26,0,0,0,0
48001950600,Speak only English,Spanish or Spanish Creole,French incl Patois Cajun,4933,80.86885246,1167,19.13114754,0,0,6100,4933,80.87,1167,19.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001950700,Speak only English,Spanish or Spanish Creole,African languages,1718,69.89422295,708,28.80390561,19,0.772986168,2458,1718,69.89,708,28.8,5,0.2,0,0,0,0,0,0,0,0,0,0,19,0.77,0,0,0,0,0,0,0,0,0,0,0,0,4,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.08,2,0.08,0,0,0,0
48001950800,Speak only English,Spanish or Spanish Creole,Vietnamese,3866,88.24469299,184,4.199954348,135,3.081488245,4381,3866,88.24,184,4.2,0,0,0,0,0,0,0,0,0,0,0,0,126,2.88,0,0,0,0,0,0,38,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.14,0,0,135,3.08,0,0,26,0.59,0,0,0,0
48001950901,Speak only English,Spanish or Spanish Creole,Vietnamese,4878,88.86864638,574,10.45727819,18,0.327928584,5489,4878,88.87,574,10.46,10,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.16,0,0,0,0,0,0,0,0,0,0,0,0,18,0.33,0,0,0,0,0,0,0,0
48001950902,Speak only English,Spanish or Spanish Creole,Mon-Khmer Cambodian,4460,93.97387273,261,5.499367889,16,0.337126001,4746,4460,93.97,261,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001951000,Speak only English,Spanish or Spanish Creole,Other Pacific Island languages,6463,95.80492143,263,3.898606582,9,0.133412393,6746,6463,95.8,263,3.9,4,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,6,0.09,9,0.13,0,0
